,youtubeVideoId,hashTags
0,1op92ojA6q0,['#quadrant']
1,vwSqpaQMmcs,['#ed-multiplication']
2,ptS2pAdBUjY,['#binomialDistribution']
3,yNFHFhJ6VS0,"['#arc', '#geometry', '#measure']"
4,RU0wScIj36o,['#fractal']
5,K79w3OpKako,['#scatterPlot']
6,CdtDU0nt4iQ,['#convertFractionsToDecimals']
7,3DIqvNjChpY,['#similarTriangles']
8,qYAdXm69l8g,['#pendulum']
9,EedbUsApuos,['#polygon']
10,Ue1_s85G0JU,"['#equivalentFractions', '#simplifyFractions']"
11,C82JyCmtKWg,['#random']
12,SBvUMjuxf1o,"['#reciprocal', '#inequality']"
13,lOWXZFP8Vuc,['#parallelLines']
14,6dZLq77gSGU,['#mod']
15,YokKp3pwVFc,['#circleArea']
16,8RRo6Ti9d0U,"['#factorial', '#combination', '#permutation']"
17,S9JGmA5_unY,"['#cryptography', '#cryptocurrency']"
18,3h4UK62Qrbo,"['#compositeNumber', '#factor', '#primeFactor', '#primeNumber']"
19,lOIP_Z_-0Hs,['#fibonacciNumber']
20,ZQ-NRsWhOGI,['#quadraticequation']
21,Ay0B6Kh9Y3Q,['#fractionalExponent']
22,Yajonhixy4g,"['#triangle', '#equilateralTriangle', '#equilateral']"
23,BTyzE-NDga8,['#rubiksCube']
24,xpk2mvZX2Ms,"['#perimeter', '#rectangleArea']"
25,F6zcGSY15Vw,"['#arithmeticMean', '#centralTendency', '#median']"
26,Guf49aOi0SQ,"['#similarTriangles', '#angleAngleSimilarTriangles']"
27,TFRHhcd986c,['#parabola']
28,h6OSBOdaLfI,['#naturalLog']
29,UHkueFmPC6s,['#arithmeticsum']
30,HlEx1TN-dqY,['#decimalArithmetic']
31,HUti6vGctQM,['#correlation']
32,oc0M1o8tuPo,['#zeroDividedByZero']
33,CA9XLJpQp3c,['#fraction']
34,uR70knMr2Hg,['#union']
35,AAY1bsazcgM,['#perimeter']
36,lYLaaMObgkw,['#deductiveReasoning']
37,0r3cEKZiLmg,['#pi']
38,8dKQLDcA8QA,"['#volume', '#crossSection']"
39,ZElOxG7_m3c,['#lawofcosines']
40,IJhNPpOj7r8,['#circumcenter']
41,KGMf314LUc0,['#division']
42,ZqbdVbkbrww,['#algebra']
43,8HJ9jWmkyuU,['#congruence']
44,oPXGb6G3TDs,"['#evenNumbers', '#division', '#operation', '#oddNumber']"
45,sD0NjbwqlYw,['#unsolvedProblems']
46,MEuPzvh0roM,['#complexNumber']
47,V8_AcKoL2Fs,['#globalMathProject']
48,FrfFeUnunGk,['#primeNumber']
49,jKFqAHfWw50,['#angleAngleSideCongruentTriangles']
50,e7lbCq1ONtQ,['#complexDivision']
51,RCHe6fCHMuU,['#polygonArea']
52,kG4Fh_PrN-E,['#dice']
53,s4tS-ZmpJfw,"['#symmetry', '#rotation']"
54,aircAruvnKk,['#artificialIntelligence']
55,HI5dTLL1r4c,['#polygon']
56,Gl-aQ-TBZZs,"['#rotation', '#congruence']"
57,sULa9Lc4pck,['#power']
58,iPLQgXUiU14,"['#combination', '#sequence']"
59,Re0s1NPZ4ek,['#analyticgeometry']
60,BKOf_xBtgCk,['#perimeter']
61,4TBVB4hLQhY,"['#mixedNumber', '#fractionAddition']"
62,ghJH4CtbBT4,['#benfordsLaw']
63,IaQwWINzjtA,['#harmonicMean']
64,SZ5IGSDgpzk,['#orthocenter']
65,vo20OcefwHc,"['#discontinuousFunction', '#asymptote']"
66,aNrO5jLAV5g,['#multiplication']
67,vIsDjbhbADY,['#benfordsLaw']
68,HSpSQQNVosA,"['#function', '#oddFunction', '#trigonometry', '#evenFunction']"
69,cwnt4fB8KdI,"['#sphereVolume', '#sphere']"
70,1-XmMhOIgaA,['#frequencyDistribution']
71,Vtz32adSl1Q,['#fractionAddition']
72,otIjqzKlnXc,['#distanceFormula']
73,Y1V5mZaMfTk,['#convertFractionsToDecimals']
74,vKG6xNPQWHw,['#ed-polynomials']
75,gGf7kFBzC48,['#graphOfFunction']
76,257TGWmxSv8,['#weightmeasurement']
77,Ktfo8D3cCr0,"['#awesomeVideos', '#mobiusStrip']"
78,JeVSmq1Nrpw,['#percent']
79,T0a92gEDukY,['#terms']
80,OmJ-4B-mS-Y,['#mathResearch']
81,LqKpkdRRLZw,['#unsolvedProblems']
82,Fqq10lt9X-M,['#ed-bases']
83,_o0cIpLQApk,['#1729']
84,8vhKBhhOMzE,['#compareDecimals']
85,m-5CDVdglp4,['#symmetry']
86,w0jRJP-_7Us,['#systemOfEquations']
87,SP-YJe7Vldo,['#complexnumbers']
88,T7_m8lT-ecc,['#compositeNumber']
89,5yecNfFyvF8,"['#parabola', '#graph', '#graphOfFunction']"
90,XZRQhkii0h0,['#exponent']
91,3OJ-7uvlqAA,['#noTag']
92,3_VydFQmtZ8,['#topology']
93,TFCQW8M15mw,"['#completeSquare', '#quadraticEquation']"
94,sOb9b_AtwDg,['#variance']
95,fh8gkPW_6g4,['#rounding']
96,JVGSKnKwIsc,"['#quadraticEquation', '#discriminant']"
97,cr6W4O78Y6c,"['#chainRule', '#derivative']"
98,1CiBuN6qraY,"['#systemOfEquations', '#graphOfFunction']"
99,9iulv2QvKwo,"['#kilometer', '#units']"
100,alprjOchyEY,['#primeNumber']
101,IIQPHC5gZT8,['#scientificNotation']
102,Igrkz1iVBXc,"['#heronsFormula', '#formula']"
103,PMakVCTQYh8,"['#tangent', '#ratio', '#similarTriangles']"
104,rXZcYHVwkqI,['#quadrilaterals']
105,OKUVvAaCv_0,"['#reciprocal', '#fractionDivision', '#division']"
106,AzTIbgUxga8,['#vivianiTheorem']
107,qrvcWgdkGi8,['#arithmeticSum']
108,k_wJsio68D4,['#unitcircle']
109,l2luO5eNKXc,['#factorial']
110,zV7aDRMEt9U,['#geometry']
111,4XytYH35AP0,['#rationalRootTheorem']
112,egNI5ahmhsY,['#independentEvents']
113,9_VCk9tWT0Y,['#expression']
114,1wnIsgUivEQ,"['#induction', '#arithmeticSum']"
115,uC09taczvOo,"['#compareFractions', '#numberLine']"
116,izdZPx89ph4,['#erdosMathematician']
117,N0chS7qYj0Y,['#fractions']
118,UCigSz7yQpc,['#transversal']
119,b_uvofsYl9s,['#voronoiDiagram']
120,i7idZfS8t8w,['#quadraticformula']
121,xjCnmPvcmOo,['#fractionalExponent']
122,HxEQxS0QSwg,['#percent']
123,5Mf0JpTI_gg,"['#geometry', '#symmetry']"
124,j9PXeNcoagw,['#gameTheory']
125,BWfDKHHZR2A,['#fractionDivision']
126,t2qskEuDLRw,"['#polygon', '#equiangular']"
127,Kp2bYWRQylk,['#mathematicalNotation']
128,P-oFpsQlt-A,['#independentEvents']
129,d0vY0CKYhPY,['#fractal']
130,py5byOOHZM8,['#artificialIntelligence']
131,6saYBeHzArE,"['#congruentTriangles', '#congruence']"
132,O8ezDEk3qCg,['#needsTag']
133,HNlpx7v7T5g,['#zeroPower']
134,C6kn6nXMWF0,['#dimension']
135,k3aKKasOmIw,"['#arithmeticMean', '#modeInStats', '#median']"
136,8howrlJVyxw,['#parentFunction']
137,KqFWHdaDyXM,['#remainder']
138,JnpqlXN9Whw,"['#negativeExponent', '#exponent']"
139,86iU3fypTd4,['#congruence']
140,IFqna5F0kW8,"['#induction', '#proof']"
141,kmVfZ9o-2gg,"['#equivalentFractions', '#percent']"
142,To_HvVM-ECE,['#surd']
143,WYijIV5JrKg,['#limits']
144,5sKah3pJnHI,['#root2']
145,Rcb7ZUTOQ1I,"['#circumference', '#circleCircumference']"
146,pyftYzmOwr4,['#heronsFormula']
147,2h8XiqSnzaU,['#improperFraction']
148,JGFSEj-oxq4,"['#rationalFunction', '#graphOfFunction']"
149,0Be_6Qaq1es,['#calculus']
