,newHashtag,y_id
0,Exploratory mathematics,0
1,Exploding Dots,1
2,Statistics and probability,2
3,Measurement,3
7,Triangular,4
8,Polygons,5
9,Fractions,6
11,Theorems and proofs,7
12,Lines,8
13,Arithmetic,9
14,Circular,10
16,Computer Science,11
17,Numbers,12
19,Algebra,13
21,Basic geometry,14
25,Calculus,15
26,Addition subtraction and sum,16
27,Division and multiplication,17
31,Logic and discrete maths,18
36,Trigonometry,19
96,Quadrilaterals,20
108,Mathematicians,21
116,Economics,22
118,Angles,23
