,youtubeVideoId,hashTags,newHashtag
1,vwSqpaQMmcs,['#ed-multiplication'],Exploding Dots
2,ptS2pAdBUjY,['#binomialDistribution'],Statistics and probability
3,yNFHFhJ6VS0,"['#arc', '#geometry', '#measure']",Geometry
5,K79w3OpKako,['#scatterPlot'],Statistics and probability
6,CdtDU0nt4iQ,['#convertFractionsToDecimals'],Numbers
7,3DIqvNjChpY,['#similarTriangles'],Geometry
8,qYAdXm69l8g,['#pendulum'],Calculus
9,EedbUsApuos,['#polygon'],Polygons lines and quadrilaterals
10,Ue1_s85G0JU,"['#equivalentFractions', '#simplifyFractions']",Numbers
11,C82JyCmtKWg,['#random'],Statistics and probability
12,SBvUMjuxf1o,"['#reciprocal', '#inequality']",Arithmetic
13,lOWXZFP8Vuc,['#parallelLines'],Polygons lines and quadrilaterals
14,6dZLq77gSGU,['#mod'],Arithmetic
15,YokKp3pwVFc,['#circleArea'],Geometry
16,8RRo6Ti9d0U,"['#factorial', '#combination', '#permutation']",Arithmetic
18,3h4UK62Qrbo,"['#compositeNumber', '#factor', '#primeFactor', '#primeNumber']",Arithmetic
19,lOIP_Z_-0Hs,['#fibonacciNumber'],Arithmetic
20,ZQ-NRsWhOGI,['#quadraticequation'],Algebra
21,Ay0B6Kh9Y3Q,['#fractionalExponent'],Numbers
22,Yajonhixy4g,"['#triangle', '#equilateralTriangle', '#equilateral']",Geometry
24,xpk2mvZX2Ms,"['#perimeter', '#rectangleArea']",Measurement
25,F6zcGSY15Vw,"['#arithmeticMean', '#centralTendency', '#median']",Statistics and probability
26,Guf49aOi0SQ,"['#similarTriangles', '#angleAngleSimilarTriangles']",Geometry
27,TFRHhcd986c,['#parabola'],Algebra
28,h6OSBOdaLfI,['#naturalLog'],Numbers
30,HlEx1TN-dqY,['#decimalArithmetic'],Arithmetic
31,HUti6vGctQM,['#correlation'],Statistics and probability
32,oc0M1o8tuPo,['#zeroDividedByZero'],Arithmetic
33,CA9XLJpQp3c,['#fraction'],Numbers
34,uR70knMr2Hg,['#union'],Logic and discrete maths
35,AAY1bsazcgM,['#perimeter'],Measurement
36,lYLaaMObgkw,['#deductiveReasoning'],Logic and discrete maths
37,0r3cEKZiLmg,['#pi'],Numbers
38,8dKQLDcA8QA,"['#volume', '#crossSection']",Geometry
39,ZElOxG7_m3c,['#lawofcosines'],Trigonometry
40,IJhNPpOj7r8,['#circumcenter'],Geometry
41,KGMf314LUc0,['#division'],Arithmetic
42,ZqbdVbkbrww,['#algebra'],Algebra
43,8HJ9jWmkyuU,['#congruence'],Geometry
44,oPXGb6G3TDs,"['#evenNumbers', '#division', '#operation', '#oddNumber']",Arithmetic
46,MEuPzvh0roM,['#complexNumber'],Numbers
48,FrfFeUnunGk,['#primeNumber'],Numbers
49,jKFqAHfWw50,['#angleAngleSideCongruentTriangles'],Geometry
50,e7lbCq1ONtQ,['#complexDivision'],Arithmetic
51,RCHe6fCHMuU,['#polygonArea'],Polygons lines and quadrilaterals
52,kG4Fh_PrN-E,['#dice'],Statistics and probability
53,s4tS-ZmpJfw,"['#symmetry', '#rotation']",Geometry
54,aircAruvnKk,['#artificialIntelligence'],Statistics and probability
55,HI5dTLL1r4c,['#polygon'],Polygons lines and quadrilaterals
56,Gl-aQ-TBZZs,"['#rotation', '#congruence']",Geometry
57,sULa9Lc4pck,['#power'],Arithmetic
58,iPLQgXUiU14,"['#combination', '#sequence']",Calculus
59,Re0s1NPZ4ek,['#analyticgeometry'],Geometry
60,BKOf_xBtgCk,['#perimeter'],Measurement
61,4TBVB4hLQhY,"['#mixedNumber', '#fractionAddition']",Numbers
62,ghJH4CtbBT4,['#benfordsLaw'],Statistics and probability
63,IaQwWINzjtA,['#harmonicMean'],Statistics and probability
64,SZ5IGSDgpzk,['#orthocenter'],Geometry
65,vo20OcefwHc,"['#discontinuousFunction', '#asymptote']",Algebra
66,aNrO5jLAV5g,['#multiplication'],Arithmetic
67,vIsDjbhbADY,['#benfordsLaw'],Statistics and probability
