,hash_0,hash_1,hash_2,hash_3,hash_4,hash_5,hash_6,hash_7,0,1,2,3,4,5,6,7,newHashtag
0,#quadrant,,,,,,,,,,,,,,,,
1,#ed-multiplication,,,,,,,,Exploding Dots,,,,,,,,Exploding Dots
2,#binomialDistribution,,,,,,,,Statistics and probability,,,,,,,,Statistics and probability
3,#arc,#geometry,#measure,,,,,,Trigonometry,Geometry,Measurement,,,,,,Geometry
4,#fractal,,,,,,,,,,,,,,,,
5,#scatterPlot,,,,,,,,Statistics and probability,,,,,,,,Statistics and probability
6,#convertFractionsToDecimals,,,,,,,,Numbers,,,,,,,,Numbers
7,#similarTriangles,,,,,,,,Geometry,,,,,,,,Geometry
8,#pendulum,,,,,,,,Calculus,,,,,,,,Calculus
9,#polygon,,,,,,,,Polygons lines and quadrilaterals,,,,,,,,Polygons lines and quadrilaterals
10,#equivalentFractions,#simplifyFractions,,,,,,,Numbers,Numbers,,,,,,,Numbers
11,#random,,,,,,,,Statistics and probability,,,,,,,,Statistics and probability
12,#reciprocal,#inequality,,,,,,,Arithmetic,,,,,,,,Arithmetic
13,#parallelLines,,,,,,,,Polygons lines and quadrilaterals,,,,,,,,Polygons lines and quadrilaterals
14,#mod,,,,,,,,Arithmetic,,,,,,,,Arithmetic
15,#circleArea,,,,,,,,Geometry,,,,,,,,Geometry
16,#factorial,#combination,#permutation,,,,,,Arithmetic,Statistics and probability,Arithmetic,,,,,,Arithmetic
17,#cryptography,#cryptocurrency,,,,,,,,,,,,,,,
18,#compositeNumber,#factor,#primeFactor,#primeNumber,,,,,Numbers,Arithmetic,Arithmetic,Numbers,,,,,Arithmetic
19,#fibonacciNumber,,,,,,,,Arithmetic,,,,,,,,Arithmetic
20,#quadraticequation,,,,,,,,Algebra,,,,,,,,Algebra
21,#fractionalExponent,,,,,,,,Numbers,,,,,,,,Numbers
22,#triangle,#equilateralTriangle,#equilateral,,,,,,Geometry,Geometry,Geometry,,,,,,Geometry
23,#rubiksCube,,,,,,,,,,,,,,,,
24,#perimeter,#rectangleArea,,,,,,,Measurement,Polygons lines and quadrilaterals,,,,,,,Measurement
