,x_train,y_train
91,"['want', 'video', 'convert', 'amount', 'well', 'first', 'start', 'kilomet', 'sand', 'encourag', 'paus', 'video', 'tri', 'well', 'one', 'thing', 'know', 'kilomet', 'could', 'liter', 'view', 'time', 'write', 'go', 'equal', 'time', 'equal', 'wan', 'ted', 'convert', 'kilomet', 'kilomet', 'right', 'mean', 'could', 'think', 'time', 'time', 'go', 'meter', 'snow', 'let', 'convert', 'distanc', 'centimet', 'sand', 'rememb', 'meter', 'equal', 'write', 'meter', 'equal', 'centimet', 'sand', 'that', 'prefix', 'cent', 'mean', 'one', 'hundredth', 'anoth', 'way', 'write', 'one', 'centimet', 'equal', 'one', 'hundredth', 'meter', 'certain', 'number', 'meter', 'sand', 'go', 'equival', 'wan', 'ted', 'write', 'could', 'say', 'well', 'go', 'equival', 'centimet', 'sand', 'go', 'equal', 'time', 'that', 'go', 'sinc', 'three', 'everi', 'time', 'multipli', 'go', 'add', 'anoth', 'zero', 'go', 'anoth', 'zero', 'end', 'go', 'multipli', 'equival', 'multipli', 'twice', 'go', 'two', 'go', 'centimet', 'snow', 'let', 'thing', 'right', 'herewith', 'kilomet', 'meter', 'sand', 'encourag', 'paus', 'video', 'tri', 'convert', 'centimet', 'swell', 'idea', 'equival', 'go', 'let', 'one', 'two', 'three', 'four', 'five', 'get', 'us', 'centimet']",Measurement
899,"['probabl', 'defin', 'success', 'es', 'divid', 'total', 'possibl', 'probabl', 'basic', 'wan', 'tokay', 'chanc', 'someth', 'want', 'divid', 'total', 'possibl', 'thing', 'could', 'happen', 'right', 'that', 'cal', 'led', 'theoret', 'theoret', 'probabl', 'odd', 'unfavor', 'way', 'would', 'like', 'say', 'want', 'dont', 'want', 'let', 'exampl', 'well', 'compar', 'say', 'exampl', 'hat', 'there', 'three', 'red', 'marbl', 'two', 'blue', 'marbl', 'one', 'black', 'marbl', 'hat', 'want', 'find', 'what', 'probabl', 'blindfold', 'pick', 'red', 'marbl', 'well', 'accord', 'definit', 'there', 'three', 'chanc', 'get', 'red', 'marbl', 'right', 'probabl', 'would', 'three', 'divid', 'total', 'number', 'six', 'reduc', 'one', 'half', 'that', 'probabl', 'also', 'write', 'probabl', 'zero', 'one', 'zero', 'mean', 'chanc', 'one', 'mean', 'hundr', 'percent', 'guarante', 'differ', 'exampl', 'say', 'want', 'know', 'odd', 'pick', 'red', 'marbl', 'well', 'there', 'three', 'three', 'thing', 'want', 'three', 'thing', 'unfavor', 'odd', 'would', 'ill', 'write', 'odd', 'three', 'three', 'one', 'one', 'could', 'also', 'write', 'colon', 'one', 'one', 'even', 'use', 'right', 'word', 'one', 'odd', 'that', 'one', 'exampl', 'let', 'look', 'spinner', 'say', 'exampl', 'spinner', 'go', 'spin', 'say', 'well', 'what', 'probabl', 'land', 'two', 'well', 'there', 'one', 'two', 'know', 'size', 'shape', 'there', 'one', 'chanc', 'land', 'two', 'divid', 'four', 'probabl', 'go', 'said', 'odd', 'land', 'well', 'one', 'chanc', 'land', 'two', 'three', 'chanc', 'land', 'odd', 'would', 'one', 'two', 'let', 'switch', 'littl', 'say', 'want', 'find', 'odd', 'land', 'number', 'two', 'odd', 'mean', 'dont', 'want', 'land', 'two', 'chanc', 'dont', 'land', 'two', 'well', 'there', 'odd', 'would', 'notic', 'reciproc', 'one', 'favor', 'odd', 'favor', 'want', 'dont', 'want', 'odd', 'dont', 'want', 'experiment', 'versu', 'theoret', 'probabl', 'what', 'differ', 'well', 'say', 'exampl', 'run', 'experi', 'right', 'spin', 'spinner', 'time', 'hundr', 'time', 'let', 'say', 'come', 'time', 'experiment', 'probabl', 'would', 'hundr', 'trial', 'that', 'probabl', 'could', 'reduc', 'would', 'reduc', 'right', 'divid', 'two', 'what', 'theoret', 'theori', 'what', 'probabl', 'land', 'well', 'one', 'chanc', 'land', 'two', 'four', 'possibl', 'thing', 'could', 'occur', 'right', 'experiment', 'think', 'experi', 'know', 'hundr', 'time', 'time', 'thousand', 'count', 'mani', 'success', 'es', 'mani', 'thing', 'occur', 'interest', 'happen', 'total', 'trial', 'sand', 'that', 'experiment', 'probabl', 'number', 'trial', 'go', 'know', 'balanc', 'equal', 'space', 'spinner', 'know', 'there', 'noth', 'whatnot', 'experiment', 'probabl', 'like', 'becom', 'closer', 'closer', 'theoret', 'probabl', 'there', 'factor', 'know', 'way', 'theyr', 'probabl', 'odd', 'odd', 'favor', 'experiment', 'probabl', 'theoret', 'probabl', 'enjoy', 'video', 'learn', 'someth', 'hope', 'subscrib', 'leav', 'comment', 'look', 'forward', 'see', 'next', 'video']",Numbers
351,"['well', 'there', 'two', 'differ', 'way', 'like', 'one', 'way', 'theyll', 'say', 'know', 'ship', 'airplan', 'object', 'head', 'bear', 'let', 'say', 'degre', 'use', 'measur', 'angl', 'away', 'start', 'face', 'posit', 'x', 'direct', 'counterclockwis', 'posit', 'angl', 'clockwis', 'neg', 'angl', 'find', 'bear', 'orient', 'cardin', 'direct', 'north', 'east', 'south', 'west', 'start', 'face', 'north', 'say', 'bear', 'would', 'measur', 'clockwis', 'north', 'would', 'right', 'start', 'face', 'north', 'go', 'clockwis', 'that', 'one', 'way', 'that', 'say', 'bear', 'anoth', 'way', 'theyll', 'give', 'well', 'say', 'north', 'west', 'south', 'degre', 'east', 'give', 'form', 'want', 'want', 'face', 'direct', 'first', 'letter', 'youd', 'say', 'go', 'face', 'north', 'go', 'start', 'degre', 'toward', 'second', 'letter', 'toward', 'west', 'face', 'north', 'degre', 'toward', 'west', 'angl', 'right', 'degre', 'want', 'find', 'angl', 'minu', 'that', 'right', 'angl', 'let', 'look', 'one', 'south', 'east', 'start', 'face', 'south', 'go', 'degre', 'toward', 'like', 'would', 'like', 'angl', 'right', 'two', 'differ', 'way', 'measur', 'go', 'coupl', 'say', 'say', 'head', 'north', 'degre', 'east', 'one', 'say', 'go', 'face', 'north', 'gon', 'na', 'head', 'toward', 'rememb', 'never', 'eat', 'sour', 'watermelon', 'go', 'direct', 'like', 'start', 'face', 'north', 'head', 'twenti', 'one', 'point', 'eight', 'degre', 'toward', 'east', 'that', 'right', 'second', 'exampl', 'say', 'ship', 'head', 'south', 'anoth', 'ship', 'degre', 'east', 'far', 'apart', 'ship', 'problem', 'let', 'see', 'draw', 'want', 'draw', 'want', 'draw', 'axi', 'like', 'label', 'direct', 'north', 'east', 'southwest', 'start', 'origin', 'one', 'ship', 'south', 'face', 'south', 'toward', 'west', 'like', 'degre', 'angl', 'go', 'go', 'one', 'south', 'east', 'start', 'face', 'south', 'degre', 'toward', 'east', 'approxim', 'right', 'that', 'littl', 'bit', 'longer', 'that', 'south', 'degre', 'toward', 'east', 'tri', 'find', 'distanc', 'two', 'ship', 'that', 'right', 'notic', 'situat', 'like', 'look', 'length', 'use', 'law', 'cosin', 'review', 'video', 'talk', 'law', 'cosin', 'need', 'review', 'well', 'set', 'basic', 'total', 'hundr', 'angl', 'that', 'two', 'side', 'would', 'wed', 'say', 'x', 'squar', 'equal', 'plu', 'squar', 'minu', 'time', 'time', 'cosin', 'includ', 'angl', 'degre', 'would', 'sinc', 'x', 'x', 'squar', 'would', 'take', 'squar', 'root', 'whole', 'thing', 'that', 'go', 'give', 'distanc', 'two', 'ship', 'two', 'differ', 'way', 'measur', 'bear', 'either', 'north', 'clockwis', 'way', 'start', 'face', 'first', 'letter', 'either', 'north', 'south', 'head', 'toward', 'second', 'ladder', 'east', 'west', 'mani', 'degre', 'hope', 'understand', 'bear', 'littl', 'bit', 'better', 'subscrib', 'channel', 'check', 'math', 'tube', 'channel', 'tutor', 'ing', 'look', 'forward', 'help', 'futur', 'video', 'ill', 'talk', 'soon']",Measurement
1176,"['abil', 'learn', 'get', 'better', 'attask', 'experi', 'part', 'human', 'born', 'know', 'almost', 'noth', 'almost', 'noth', 'soon', 'learn', 'becom', 'capabl', 'everi', 'day', 'know', 'comput', 'machin', 'togeth', 'statist', 'comput', 'scienc', 'enabl', 'comput', 'given', 'task', 'without', 'brain', 'experi', 'improv', 'task', 'comput', 'say', 'need', 'comput', 'tell', 'differ', 'pictur', 'dog', 'pictur', 'cat', 'could', 'begin', 'feed', 'imag', 'tell', 'dog', 'comput', 'learn', 'seek', 'statist', 'pattern', 'within', 'data', 'enabl', 'recogn', 'dog', 'futur', 'might', 'figur', 'cat', 'shorter', 'nose', 'sand', 'dog', 'come', 'varieti', 'size', 'repres', 'inform', 'numer', 'space', 'crucial', 'comput', 'programm', 'pattern', 'sand', 'establish', 'es', 'algorithm', 'futur', 'data', 'sort', 'one', 'exampl', 'simpl', 'yet', 'highli', 'effect', 'algorithm', 'find', 'optim', 'line', 'separ', 'cat', 'dog', 'comput', 'new', 'pictur', 'side', 'line', 'fall', 'say', 'either', 'cat', 'dog', 'cours', 'mistak', 'data', 'comput', 'receiv', 'fine', 'accur', 'predict', 'machin', 'learn', 'alreadi', 'wide', 'appli', 'technolog', 'behind', 'facial', 'recognit', 'text', 'speech', 'recognit', 'filter', 'shop', 'credit', 'card', 'fraud', 'detect', 'much', 'univers', 'ox', 'ford', 'machin', 'combin', 'statist', 'comput', 'scienc', 'build', 'solv', 'complex', 'problem', 'smore', 'effici', 'less', 'medic', 'diagnosi', 'social', 'media', 'potenti', 'machin', 'learn', 'transform', 'world', 'find', 'machin', 'learn', 'visit', 'us', 'twitter', 'find', 'us']",Computer Science
436,"['ice', 'cream', 'actual', 'ice', 'cream', 'top', 'cone', 'one', 'look', 'look', 'someth', 'like', 'invert', 'look', 'like', 'whenev', 'see', 'three', 'dimension', 'figur', 'ask', 'two', 'figur', 'made', 'defin', 'cone', 'one', 'circular', 'base', 'slant', 'curv', 'surfac', 'slant', 'curv', 'surfac', 'begin', 'vertex', 'toward', 'base', 'next', 'thing', 'need', 'know', 'cone', 'defin', 'acon', 'defin', 'two', 'paramet', 'first', 'height', 'second', 'radiu', 'circular', 'base', 'length', 'height', 'length', 'radiu', 'circular', 'base', 'paramet', 'given', 'get', 'uniqu', 'cone', 'mean', 'say', 'ked', 'draw', 'cone', 'radiu', 'circular', 'base', 'draw', 'like', 'well', 'may', 'draw', 'like', 'mayb', 'like', 'radiu', 'circular', 'base', 'case', 'defin', 'uniqu', 'need', 'height', 'let', 'analyz', 'invert', 'cone', 'circular', 'base', 'hollow', 'open', 'cone', 'open', 'corn', 'vertic', 'vertex', 'look', 'open', 'bit', 'look', 'guess', 'sector', 'circl', 'curv', 'surfac', 'cone', 'uplook', 'like', 'sector', 'circl']",Circular
369,"['understand', 'surfac', 'area', 'cylind', 'deriv', 'interest', 'look', 'cylind', 'two', 'blue', 'circular', 'end', 'one', 'top', 'one', 'bottom', 'analyz', 'figur', 'know', 'area', 'circl', 'easili', 'find', 'surfac', 'area', 'top', 'bottom', 'circular', 'end', 'import', 'question', 'find', 'surfac', 'area', 'curv', 'surfac', 'let', 'zoom', 'bit', 'first', 'let', 'separ', 'circular', 'top', 'one', 'bottom', 'understand', 'curv', 'surfac', 'cut', 'open', 'vertic', 'make', 'look', 'like', 'cut', 'surfac', 'vertic', 'look', 'like', 'rectangl', 'question', 'need', 'ask', 'first', 'length', 'rectangl', 'second', 'breadth', 'look', 'care', 'notic', 'length', 'rectangl', 'actual', 'circumfer', 'circular', 'base', 'pull', 'open', 'breadth', 'breadth', 'height', 'cylind', 'let', 'assum', 'height', 'cylind', 'h', 'radiu', 'circular', 'base', 'r', 'breadth', 'h', 'length', 'pi', 'r', 'dont', 'forget', 'area', 'rectangl', 'curv', 'surfac', 'area', 'need', 'find', 'total', 'surfac', 'area', 'cylind', 'surfac', 'area', 'sum', 'two', 'circl', 'curv', 'surfac', 'rectangl', 'area', 'circular', 'base', 'pi', 'r', 'squar', 'sinc', 'two', 'equal', 'circl', 'write', 'pi', 'r', 'squar', 'plu', 'pi', 'r', 'squar', 'cover', 'surfac', 'area', 'bottom', 'surfac', 'rectangl', 'breath', 'pir', 'h', 'pi', 'r', 'h', 'actual', 'curv', 'surfac', 'area', 'cylind', 'like', 'term', 'pi', 'r', 'squar', 'write', 'pi', 'r', 'h', 'pi', 'r', 'common', 'term', 'write', 'final', 'formula', 'pi', 'r', 'h', 'given', 'radiu', 'base', 'height', 'cylind', 'formula', 'total', 'surfac', 'area']",Circular
175,"['ear', 'lier', 'mathemat', 'may', 'done', 'probabl', 'got', 'familiar', 'idea', 'factor', 'exampl', 'let', 'arbitrari', 'number', 'number', 'could', 'say', 'number', 'product', 'say', 'two', 'six', 'two', 'time', 'six', 'equal', 'take', 'product', 'six', 'get', 'could', 'say', 'two', 'factor', 'could', 'also', 'say', 'six', 'factor', 'take', 'product', 'thing', 'get', 'could', 'even', 'say', 'form', 'peopl', 'dont', 'realli', 'talk', 'way', 'could', 'think', 'way', 'broke', 'thing', 'could', 'use', 'multipli', 'probabl', 'rememb', 'ear', 'lier', 'mathemat', 'notion', 'prime', 'factor', 'break', 'prime', 'case', 'could', 'break', 'six', 'two', 'three', 'two', 'time', 'two', 'time', 'three', 'equal', 'youd', 'say', 'well', 'would', 'prime', 'form', 'prime', 'factor', 'prime', 'factor', 'sand', 'gener', 'idea', 'notion', 'factor', 'thing', 'multipli', 'togeth', 'get', 'origin', 'talk', 'essenti', 'take', 'number', 'break', 'thing', 'multipli', 'togeth', 'get', 'origin', 'number', 'go', 'extend', 'idea', 'algebra', 'domain', 'start', 'say', 'express', 'plu', 'four', 'x', 'break', 'product', 'two', 'either', 'two', 'product', 'number', 'express', 'well', 'one', 'thing', 'might', 'jump', 'write', 'time', 'one', 'plu', 'two', 'x', 'verifi', 'like', 'inde', 'equal', 'two', 'plu', 'four', 'x', 'go', 'distribut', 'two', 'two', 'time', 'one', 'two', 'two', 'time', 'two', 'equal', 'four', 'x', 'plu', 'four', 'x', 'algebra', 'brain', 'often', 'revi', 'wed', 'refer', 'red', 'express', 'form', 'sometim', 'peopl', 'would', 'say', 'two', 'could', 'easili', 'say', 'one', 'plu', 'two', 'x', 'broken', 'thing', 'two', 'let', 'coupl', 'well', 'think', 'know', 'told', 'could', 'write', 'way', 'actual', 'figur', 'let', 'anoth', 'say', 'dont', 'say', 'six', 'let', 'differ', 'say', 'six', 'x', 'six', 'x', 'plu', 'three', 'let', 'write', 'six', 'x', 'plu', 'that', 'interest', 'one', 'way', 'think', 'break', 'common', 'factor', 'well', 'one', 'six', 'x', 'liter', 'time', 'x', 'want', 'break', 'six', 'divis', 'six', 'could', 'write', 'six', 'time', 'thing', 'six', 'time', 'five', 'write', 'way', 'see', 'hey', 'factor', 'six', 'essenti', 'revers', 'distribut', 'properti', 'essenti', 'undo', 'distribut', 'properti', 'take', 'six', 'go', 'end', 'take', 'six', 'end', 'six', 'time', 'take', 'six', 'x', 'take', 'six', 'plu', 'six', 'x', 'plu', 'factor', 'could', 'write', 'six', 'time', 'x', 'plu', 'five', 'verifi', 'distribut', 'properti', 'distribut', 'six', 'get', 'six', 'x', 'five', 'time', 'six', 'six', 'x', 'someth', 'that', 'littl', 'bit', 'interest', 'might', 'want', 'factor', 'fraction', 'let', 'say', 'situat', 'let', 'get', 'new', 'color', 'let', 'say', 'minu', 'x', 'could', 'write', 'guess', 'could', 'say', 'wan', 'ted', 'factor', 'someth', 'encourag', 'paus', 'video', 'tri', 'figur', 'ill', 'give', 'hint', 'see', 'factor', 'write', 'way', 'tri', 'factor', 'write', 'first', 'term', 'time', 'one', 'second', 'could', 'write', 'minu', 'time', 'three', 'x', 'that', 'x', 'three', 'x', 'divid', 'two', 'time', 'three', 'x', 'see', 'factor', 'go', 'time', 'one', 'minu', 'three', 'x', 'anoth', 'way', 'could', 'thought', 'hey', 'look', 'that', 'littl', 'bit', 'deal', 'fraction', 'one', 'way', 'think', 'divid', 'divid', 'divid', 'one', 'take', 'divid', 'go', 'three', 'took', 'that', 'anoth', 'way', 'think', 'dont', 'know', 'confus', 'confus', 'less', 'hope', 'give', 'sens', 'factor', 'ing', 'express', 'anoth', 'exampl', 'even', 'abstract', 'thing', 'could', 'say', 'ax', 'plu', 'ay', 'could', 'write', 'form', 'well', 'term', 'could', 'write', 'time', 'x', 'plu', 'sometim', 'hear', 'peopl', 'say', 'verifi', 'multipli', 'distribut', 'youd', 'left', 'ax', 'plu', 'ay']",Algebra
227,"['exampl', 'left', 'previou', 'video', 'drop', 'piec', 'balsa', 'wood', 'metal', 'mass', 'water', 'happen', 'float', 'one', 'stay', 'afloat', 'one', 'intuit', 'say', 'wooden', 'block', 'float', 'metal', 'pin', 'sink', 'theyr', 'mass', 'happen', 'shouldnt', 'float', 'buoyant', 'forc', 'happen', 'differ', 'what', 'densiti', 'look', 'two', 'park', 'lot', 'size', 'one', 'three', 'car', 'mani', 'one', 'dens', 'one', 'correct', 'look', 'two', 'forest', 'one', 'dens', 'one', 'given', 'amount', 'space', 'thing', 'say', 'simpli', 'measur', 'compact', 'mass', 'substanc', 'object', 'go', 'scientif', 'definit', 'would', 'say', 'mass', 'per', 'unit', 'volum', 'short', 'tell', 'us', 'much', 'mass', 'exist', 'given', 'volum', 'unit', 'densiti', 'kilogram', 'per', 'meter', 'kilogram', 'volum', 'meter', 'back', 'exampl', 'wood', 'float', 'pin', 'sink', 'wood', 'water', 'densiti', 'lesser', 'densiti', 'water', 'henc', 'upthrust', 'water', 'greater', 'weight', 'wood', 'henc', 'densiti', 'metal', 'pin', 'densiti', 'water', 'though', 'look', 'tini', 'there', 'mass', 'per', 'unit', 'volum', 'within', 'compar', 'water', 'henc', 'upthrust', 'water', 'pin', 'less', 'weight', 'pin', 'conclud', 'densiti', 'object', 'lesser', 'densiti', 'liquid', 'float', 'densiti', 'object', 'densiti', 'liquid', 'sink', 'understand', 'principl', 'next', 'video']",Statistics and probability
41,"['think', 'outcom', 'even', 'number', 'divid', 'anoth', 'even', 'number', 'consid', 'case', 'divid', 'quotient', 'even', 'give', 'odd', 'divid', 'non', 'integ', 'even', 'number', 'divid', 'even', 'number', 'may', 'get', 'even', 'number', 'odd', 'number', 'non', 'integ', 'case', 'look', 'odd', 'odd', 'matter', 'odd', 'choos', 'quotient', 'even', 'number', 'tri', 'exampl', 'odd', 'odd', 'see', 'get', 'even', 'quotient', 'case', 'odd', 'quotient', 'odd', 'number', 'give', 'us', 'non', 'integ', 'odd', 'odd', 'may', 'get', 'odd', 'quotient', 'non', 'integ', 'definit', 'even', 'integ', 'third', 'case', 'consid', 'even', 'odd', 'give', 'us', 'even', 'number', 'get', 'odd', 'number', 'divid', 'even', 'number', 'odd', 'one', 'tri', 'see', 'result', 'get', 'never', 'odd', 'logic', 'simpl', 'numer', 'someth', 'denomin', 'odd', 'sure', 'remain', 'matter', 'henc', 'even', 'odd', 'never', 'odd', 'anoth', 'exampl', 'even', 'odd', 'result', 'non', 'integ', 'fourth', 'final', 'case', 'odd', 'even', 'might', 'surpris', 'even', 'result', 'say', 'easili', 'plain', 'logic', 'factor', 'two', 'even', 'number', 'remain', 'denomin', 'someth', 'like', 'see', 'remain', 'sure', 'get', 'non', 'integ', 'sure', 'quotient', 'odd', 'exampl', 'would', 'even', 'alway', 'give', 'us', 'non', 'integ']",Numbers
248,"['question', 'appl', 'easter', 'egg', 'phone', 'ask', 'question', 'sir', 'get', 'follow', 'respons', 'imagin', 'zero', 'split', 'evenli', 'among', 'zero', 'friend', 'person', 'get', 'see', 'doesnt', 'make', 'sens', 'cook', 'ie', 'monster', 'said', 'sad', 'sir', 'give', 'sarcast', 'respons', 'answer', 'indetermin', 'consid', 'accept', 'answer', 'what', 'problem', 'divid', 'zero', 'one', 'problem', 'could', 'divid', 'zero', 'get', 'contradictori', 'result', 'know', 'one', 'time', 'zero', 'equal', 'two', 'time', 'zero', 'number', 'time', 'zero', 'equal', 'zero', 'could', 'divid', 'zero', 'way', 'normal', 'divid', 'zero', 'multipl', 'invers', 'could', 'divid', 'equat', 'zero', 'cancel', 'find', 'one', 'equal', 'two', 'would', 'clearli', 'ruin', 'everyth', 'know', 'mathemat', 'would', 'caus', 'algebra', 'meaningless', 'fact', 'b', 'time', 'zero', 'equal', 'b', 'time', 'zero', 'divid', 'zero', 'multipli', 'multipl', 'invers', 'get', 'equal', 'b', 'one', 'reason', 'cant', 'divid', 'zero', 'wouldnt', 'meaning', 'oper', 'rel', 'rest', 'algebra', 'mathemat', 'built', 'sir', 'said', 'zero', 'divid', 'zero', 'indetermin', 'mean', 'well', 'think', 'divid', 'one', 'smaller', 'smaller', 'decim', 'take', 'posit', 'decim', 'eventu', 'get', 'one', 'divid', 'smaller', 'smaller', 'posit', 'decim', 'plu', 'infin', 'graphic', 'approach', 'zero', 'posit', 'go', 'posit', 'infin', 'oper', 'neg', 'got', 'smaller', 'smaller', 'closer', 'youd', 'get', 'one', 'divid', 'neg', 'infin', 'graph', 'goe', 'way', 'divid', 'exactli', 'zero', 'well', 'limit', 'approach', 'es', 'plu', 'infin', 'neg', 'infin', 'therefor', 'say', 'limit', 'indetermin', 'that', 'anoth', 'problem', 'divid', 'zero', 'give', 'correct', 'answer', 'although', 'sarcast', 'respons', 'hope', 'like', 'video', 'pleas', 'subscrib', 'channel', 'make', 'video', 'math', 'game', 'theori', 'catch', 'mind', 'follow', 'go', 'ogl', 'catch', 'pressur', 'locker', 'social', 'media', 'pleas', 'check', 'there', 'link', 'video', 'descript', 'thank', 'watch']",Division and multiplication
